,url0,url1,url2,url3,click0,click1,click2,click3,orig0,click_orig0,name,Token,Guessed name,correct?,Guessed characteristics,correct?
117,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-001.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-001.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_001.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_001.m_gold_conll.html,tv_00_cctv_0000___part_001.m_g,_PHY_ _THING_,Hong Kong,y,,
252,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-to-fix/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-first-150-docs/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-to-fix/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-first-150-docs/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-001.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_001.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_001.m_gold_conll.html,tv_00_cctv_0000___part_001.m_g,_PHY_ _THING_,Taiwan,n,,
22,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-005.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-005.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_009.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_009.m_gold_conll.html,tv_00_cctv_0000___part_009.m_g,_HO_ _SEEP_,Hong Kong,y,,
63,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-to-fix/student1-2019-03-14-question-005.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-005.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-005.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-to-fix/student1-2019-03-14-question-005.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-005.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-005.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_009.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cctv_00_cctv_0000___part_009.m_gold_conll.html,tv_00_cctv_0000___part_009.m_g,_HO_ _SEEP_,Hong Kong,y,,
23,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-009.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-009.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-009.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-009.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-009.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-009.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,cnn_00_cnn_0000___part_005.m_g,_MIP_ _CEE_,,,a TV show,y
104,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-009.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-009.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,cnn_00_cnn_0000___part_005.m_g,_CEE_ _SE_,,,TV show / news show,y
257,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-009.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-009.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_005.m_gold_conll.html,cnn_00_cnn_0000___part_005.m_g,_CEE_ _SE_,,,News Broadcasting Program,y
238,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-011.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-011.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_007.m_gold_conll.html,cnn_00_cnn_0000___part_007.m_g,_RE_,,,top jockey player,y
48,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-128.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-128.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,cnn_00_cnn_0000___part_014.m_g,_LOO46_,,,name of a London metro station where a terrorist attack happened,y
119,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-128.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-128.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,cnn_00_cnn_0000___part_014.m_g,_DO_ _XANG0_,,,a reporter or TV show,y
