"Timestamp","Username","Total score","Document","Document [Score]","Document [Feedback]","Excerpt (for verification)","Excerpt (for verification) [Score]","Excerpt (for verification) [Feedback]","Sentence 1","Sentence 1 [Score]","Sentence 1 [Feedback]","Sentence 2","Sentence 2 [Score]","Sentence 2 [Feedback]","Sentence 3","Sentence 3 [Score]","Sentence 3 [Feedback]"
"2019/06/16 5:12:43 pm EET","student2","0.00 / 3","student2-2019-03-29-question-456.html","-- / 0","","","","","Pali is a township at the foot of Mt. Kuanyin with a river landscape.","-- / 1","","The ferries at Pali are a reminder of succesful ocean trade and connect the cities on the sides of the river. ","-- / 1","","A local archeological site reveals the secrets of Taiwan's aboriginal population.","-- / 1",""
"2019/06/16 5:14:36 pm EET","student2","0.00 / 3","student2-2019-03-29-question-456.html","-- / 0","","","","","Robert Goldberg is involved with the new CBS show ""Island Son"".","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/16 5:22:11 pm EET","student2","0.00 / 3","student2-2019-03-29-question-058.html","-- / 0","","","","","Iraq is about to be rebuilt after the fall of Saddam Hussein's regime.","-- / 1","","This means a change for the coalition's role in the country.","-- / 1","","Military analyst and ex-general Claudia Kennedy explains the possibilities.","-- / 1",""
"2019/06/16 5:26:28 pm EET","student2","0.00 / 3","student2-2019-03-29-question-251.html","-- / 0","","","","","Basketball coach Larry Eustachy resigned after the picture scandal.","-- / 1","","The scandal damaged his credibility too much.","-- / 1","","He received a large sum from the university as a buyout.","-- / 1",""
"2019/06/16 5:29:32 pm EET","student2","0.00 / 3","student2-2019-03-29-question-157.html","-- / 0","","","","","The former Soviet national anthem has been restored in Russia with minor changes to the lyrics.","-- / 1","","Putin supported the restoration.","-- / 1","","Some criticized the move because of the totalitarian nature of the Soviet Union.","-- / 1",""
"2019/06/16 5:32:58 pm EET","student2","0.00 / 3","student2-2019-03-29-question-083.html","-- / 0","","","","","Many Palestinians died in Israeli air raids in the Gaza Strip.","-- / 1","","The air raids were a response to a Palestiniain terrorist attack on an Israeli school bus earlier this week.","-- / 1","","Palestinian leaders call for international intervention.","-- / 1",""
"2019/06/16 5:34:16 pm EET","student2","0.00 / 3","student2-2019-03-29-question-446.html","-- / 0","","","","","Kenneth J. Thygerson resigned from his post as president of a thrift holding company.","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/16 5:37:39 pm EET","student2","0.00 / 3","student2-2019-03-29-question-394.html","-- / 0","","","","","The Presidential Advisory Group on Cross-Strait Relations is discussing the One China issue with members of China's DPP.","-- / 1","","The Taiwanese constitution plays a key role in the issue.","-- / 1","","","-- / 1",""
"2019/06/16 5:45:24 pm EET","student2","0.00 / 3","student2-2019-03-29-question-173.html","-- / 0","","","","","Hsu Tsang-houei was one of the most influental composers of the last half century in Taiwan.","-- / 1","","Chang Kwang-chih has been a key figure in shaping the field of archeology in Taiwan.","-- / 1","","Taiwanese historian Tai Kuo-hui was respected for facing historical truth and going against political dogma.","-- / 1",""
"2019/06/16 5:48:12 pm EET","student2","0.00 / 3","student2-2019-03-29-question-132.html","-- / 0","","","","","A juror in the Michael Jackson trial has revealed she has been intimated not to tell the truth.","-- / 1","","Eleanor Cook, another juror, is writing a book about the trial.","-- / 1","","","-- / 1",""
"2019/06/16 5:54:03 pm EET","student2","0.00 / 3","student2-2019-03-29-question-345.html","-- / 0","","","","","India has made an arms deal with Russia to acquire military vehicles.","-- / 1","","Vladimir Putin has recently visited India and discussed the Kashmir question.","-- / 1","","Bill Clinton also visited the country earlier this year.","-- / 1",""
"2019/06/16 5:58:33 pm EET","student2","0.00 / 3","student2-2019-03-29-question-079.html","-- / 0","","","","","Hisham Mekki, the head of Palestinian State Television and Radio has been shot.","-- / 1","","The attack took place at a hotel.","-- / 1","","","-- / 1",""
"2019/06/16 6:02:13 pm EET","student2","0.00 / 3","student2-2019-03-29-question-265.html","-- / 0","","","","","Governor Richardson talks about the nuclear missile situation in North Korea.","-- / 1","","He says that negotiating with the North Koreans is difficult and risky.","-- / 1","","He stresses the importance of arms control agreements.","-- / 1",""
"2019/06/16 8:11:23 pm EET","student2","0.00 / 3","student2-2019-03-29-question-223.html","-- / 0","","__ __ __ exactly __ __ react __ __ __ __ __ __ at __ __ __ __ __ __ __ SMS __ I __ __ __ that Jingguang Bridge __ __ __ I say __ __ is __ good __ __ __ . __ you __ information like __..","-- / 0","","There was a road-cave accident in a Chinese city.","-- / 1","","The government responded quickly by sending out text messages to the residents.","-- / 1","","Emergency repair workers were sent to the scene to repair the damaged sewage pipes.","-- / 1",""
"2019/06/16 8:15:45 pm EET","student2","0.00 / 3","student2-2019-03-29-question-246.html","-- / 0","","Coming up two mothers both their daughters kidnapped raped killed /. Join us for the final installment of our series Manhunt Sex Offenders on the Loose /. And you know I sort of pooh - poohed the idea that two jurors from the Michael Jackson trial are now writing tell..","-- / 0","","Dan Abrams, a television host, is introducing the upcoming topics on his show.","-- / 1","","One of the topics involve two mothers who lost their daughters to sex offenders.","-- / 1","","He also mentions an earlier comment he made about the Michael Jackson case and that viewers can respond to it.","-- / 1",""
"2019/06/16 8:18:02 pm EET","student2","0.00 / 3","student2-2019-03-29-question-440.html","-- / 0","","The __ issues were recently filed with __ Securities and Exchange Commission : American Cyanamid Co. , offering of 1,250,000 __ shares , __ Merrill Lynch Capital Markets . Limited __ __ offering of up to $ 300 million of debt securities __ __ . __ California Performance Plus Municipal..","-- / 0","","The US Securities and Exchange Commision filed a number of issues recently.","-- / 1","","They include a range of companies buying shares and stocks from each other.","-- / 1","","","-- / 1",""
"2019/06/16 8:20:34 pm EET","student2","0.00 / 3","student2-2019-03-29-question-399.html","-- / 0","","Tanshui __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ the "" foreign district __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ Taiwan __ __ __ __ __ __ __ __ __ __ __..","-- / 0","","Tanshui, a little town in Taiwan, used to be called the ""foreign district"".","-- / 1","","Its educational institutions include Tamkang Middle School and Tamkang University.","-- / 1","","Tanshui used to be an agricultural town in the mountains.","-- / 1",""
"2019/06/16 8:23:50 pm EET","student2","0.00 / 3","student2-2019-03-29-question-193.html","-- / 0","","Business Week subscribers may hear this week 's issue talking back to them . A four - page ad from Texas Instruments Inc. , running in approximately 140,000 issues of the Oct. 20 `` Corporate Elite '' issue of the McGraw - Hill Inc. publication , contains a speech synthesizer..","-- / 0","","An ad in the upcoming edition of Business Week magazine features a talking chip.","-- / 1","","The expensive chep plays a short advertisement about itself.","-- / 1","","The chip is the first of its kind.","-- / 1",""
"2019/06/16 8:26:32 pm EET","student2","0.00 / 3","student2-2019-03-29-question-059.html","-- / 0","","Stocks sold off on Wall Street today , ending a two - session rally . One catalyst rose to the highest level in more then a year . The Dow Jones Industrial Average down 75.62 . The Nasdaq lost almost nine . The S&P 500 down almost eight . The..","-- / 0","","Many Wall Street stocks lost value today.","-- / 1","","Multiple Enron executives have been charged with fraud since the company's collapse.","-- / 1","","A settlement has been made about conflict of interest in stock research.","-- / 1",""
"2019/06/16 8:28:17 pm EET","student2","0.00 / 3","student2-2019-03-29-question-385.html","-- / 0","","__ __ something __ __ __ with __ __ character __ __ __ __ __ __ , __ it __ __ __ __ . Luo Jialun , one of the leading lights of the May Fourth Movement __ is __ __ example __ Luo __ __ __ __ __ __..","-- / 0","","NA","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/16 8:31:31 pm EET","student2","0.00 / 3","student2-2019-03-29-question-111.html","-- / 0","","In the competition , host country Australia took the most medals , including 64 golds . Among the ROC 's medals , the gold - the first ever for Taiwan - was won by Chiang Chih - chung . With a throw of 57.28 meters , Chiang shattered the world..","-- / 0","","Taiwanese athletes have performed well at an international paralympics event.","-- / 1","","South Korea performed best among Asian countries.","-- / 1","","South Korean atheletes, many of whom are veterans, should provide an inspiration to disabled and sports communities.","-- / 1",""
"2019/06/16 8:34:55 pm EET","student2","0.00 / 3","student2-2019-03-29-question-407.html","-- / 0","","Green hills The success of black pearl wax apples gave Linpien a much __ needed __ , bringing __ __ the younger __ back to the __ to __ the fruit . The credit for putting wax apples at the __ __ the town 's revival and for mounting the..","-- / 0","","A project began around eight years ago to beautify the town of Linpien.","-- / 1","","Various volunteer groups and organizations took part in the revamping of the city.","-- / 1","","The revival has made the establishment of a now succesful wax apple festival. ","-- / 1",""
"2019/06/16 8:38:24 pm EET","student2","0.00 / 3","student2-2019-03-29-question-208.html","-- / 0","","The cup of blessing that we give thanks for __ __ __ __ the __ __ __ Christ __ is __ it __ __ the bread that we break __ __ sharing __ __ __ __ Christ , __ __ it __ __ __ one loaf of bread __ __..","-- / 0","","Christians share their faith in the sacrifice of a loaf of bread.","-- / 1","","The people of Israel (Jews) are wrong about their sacrifices.","-- / 1","","","-- / 1",""
